dimensioni,peso,CEP_IT_ES_FR_EUR,DE_EUR,NL_BE_EUR,SE_SEK,PL_PLN,UK_to_DE_FR_IT_ES_EUR,UK_to_NL_EUR,UK_to_SE_SEK,DE_FR_IT_ES_to_UK_GBP,incremento_CEP_IT_ES_FR_EUR,incremento_DE_EUR,incremento_NL_BE_EUR,incremento_SE_SEK,incremento_PL_PLN,incremento_UK_to_DE_FR_IT_ES_EUR,incremento_UK_to_NL_EUR,incremento_UK_to_SE_SEK,incremento_DE_FR_IT_ES_to_UK_GBP
Busta leggera,20,5.08,5.34,5.15,53.13,20.82,4.86,5.59,59.4,3.33,,,,,,,,,
Busta leggera,40,5.11,5.37,5.18,53.67,20.98,4.89,5.62,60.01,3.35,,,,,,,,,
Busta leggera,60,5.16,5.42,5.2,53.77,21.07,4.94,5.65,60.11,3.39,,,,,,,,,
Busta leggera,80,5.47,5.73,5.53,57.31,22.49,5.21,6.01,64.08,3.43,,,,,,,,,
Busta leggera,100,5.5,5.76,5.54,57.42,22.53,5.24,6.02,64.16,3.47,,,,,,,,,
Busta standard,210,5.5,5.76,5.56,57.57,22.61,5.25,6.03,64.27,3.47,,,,,,,,,
Busta standard,460,5.53,5.79,5.6,57.91,22.95,5.28,6.08,64.64,3.56,,,,,,,,,
Busta grande,960,6.09,6.35,5.97,62.44,24.57,5.81,6.48,69.7,3.73,,,,,,,,,
Busta extra large,960,6.72,6.98,6.59,67.57,29.68,6.41,7.16,75.43,3.8,,,,,,,,,
Pacco piccolo,150,6.61,6.87,6.59,67.83,29.68,6.2,7.03,74.41,4.34,,,,,,,,,
Pacco piccolo,400,7.05,7.31,7.21,73.94,32.33,6.62,7.69,81.11,4.44,,,,,,,,,
Pacco piccolo,900,8.45,8.71,8.64,88.56,38.43,7.93,9.22,97.15,4.62,,,,,,,,,
Pacco piccolo,1400,9.28,9.54,9.49,97.37,42.11,8.72,10.13,106.82,4.86,,,,,,,,,
Pacco piccolo,1900,10.58,10.84,10.82,110.88,47.74,9.93,11.54,121.63,5.33,,,,,,,,,
Pacco piccolo,3900,13.42,13.68,13.73,140.71,60.18,12.6,14.65,154.36,5.44,,,,,,,,,
Pacco standard,150,6.63,6.89,6.73,68.32,29.85,6.22,7.18,74.95,4.74,,,,,,,,,
Pacco standard,400,7.73,7.99,7.9,81.01,33.08,7.26,8.43,88.87,4.98,,,,,,,,,
Pacco standard,900,9.19,9.45,9.4,96.36,38.98,8.63,10.03,105.71,5.19,,,,,,,,,
Pacco standard,1400,10.43,10.69,10.67,109.35,42.8,9.79,11.38,119.96,5.27,,,,,,,,,
Pacco standard,1900,11.97,12.23,12.25,125.51,49.14,11.24,13.06,137.69,5.74,,,,,,,,,
Pacco standard,2900,13.42,13.68,13.73,140.71,60.43,12.6,14.65,154.36,6.93,,,,,,,,,
Pacco standard,3900,15.8,16.06,16.16,165.71,64.6,14.84,17.24,181.78,8.74,,,,,,,,,
Pacco standard,5900,16.67,16.93,17.05,174.75,67.88,15.65,18.19,191.7,9.64,,,,,,,,,
Pacco standard,8900,18.06,18.32,18.48,189.36,73.47,16.96,19.71,207.73,9.82,,,,,,,,,
Pacco standard,11900,21.24,21.5,21.72,222.6,88.03,19.94,23.17,244.2,10.33,,,,,,,,,
Fuori misura piccolo,760,17.68,17.94,15.63,161.58,71.6,13.63,15.99,173.42,12.3,0.36,0.36,0.16,1.86,0.81,0.21,0.17,1.99,0.5
Fuori misura standard leggero,760,21.55,21.81,19.34,191.97,85.98,16.47,19.79,196.44,12.53,0.78,0.78,0.59,6.38,2.44,0.57,0.61,6.53,0.54
Fuori misura standard pesante,15760,32.87,33.13,27.78,280.13,121.48,24.54,28.43,286.65,20.49,0.38,0.38,0.58,5.8,2.32,0.62,0.59,6.22,0.57
Fuori misura standard grande,760,22.13,22.39,19.57,194.75,86.68,17.06,20.02,199.29,13.03,0.78,0.78,0.64,6.38,2.67,0.62,0.65,6.85,0.56
Fuori misura ingombrante,760,32.95,33.21,29.12,294.7,130.19,25.4,29.79,301.56,15.53,1.15,1.15,0.67,6.6,3.02,0.99,0.69,7.09,0.6
Fuori misura pesante,31500,37.67,37.93,35.52,366.6,148.84,29.58,39.51,456.44,22.32,1.24,1.24,0.78,7.75,3.26,1.19,0.87,8.88,0.62
