dimensioni,peso,UK_GBP,CEP_EUR,DE_EUR,FR_EUR,IT_EUR,ES_EUR,NL_EUR,SE_SEK,PL_PLN,BE_EUR,incremento_UK_GBP,incremento_CEP_EUR,incremento_DE_EUR,incremento_FR_EUR,incremento_IT_EUR,incremento_ES_EUR,incremento_NL_EUR,incremento_SE_SEK,incremento_PL_PLN,incremento_BE_EUR
Busta leggera,20,1.83,2.07,2.33,2.75,3.23,2.77,2.31,33.35,3.04,2.26,,,,,,,,,,
Busta leggera,40,1.87,2.11,2.37,2.76,3.26,2.84,2.35,33.52,3.05,2.31,,,,,,,,,,
Busta leggera,60,1.89,2.13,2.39,2.78,3.28,2.87,2.35,33.7,3.06,2.31,,,,,,,,,,
Busta leggera,80,2.07,2.26,2.52,3.3,3.39,3.21,2.45,35.08,3.13,2.41,,,,,,,,,,
Busta leggera,100,2.08,2.28,2.54,3.32,3.41,3.23,2.47,35.2,3.14,2.43,,,,,,,,,,
Busta standard,210,2.1,2.31,2.57,3.33,3.45,3.26,2.51,35.47,3.16,2.47,,,,,,,,,,
Busta standard,460,2.16,2.42,2.68,3.77,3.64,3.45,2.6,41.09,3.36,2.56,,,,,,,,,,
Busta grande,960,2.72,2.78,3.04,4.39,3.94,3.6,3.26,42.35,3.49,3.21,,,,,,,,,,
Busta extra large,960,2.94,3.16,3.42,4.72,4.17,3.85,3.61,45.62,3.58,3.53,,,,,,,,,,
Pacco piccolo,150,2.91,3.12,3.38,4.56,4.13,3.52,3.47,45.41,3.61,3.39,,,,,,,,,,
Pacco piccolo,400,3.0,3.13,3.39,5.07,4.54,3.74,3.51,47.29,3.67,3.67,,,,,,,,,,
Pacco piccolo,900,3.04,3.14,3.4,5.79,4.95,3.95,4.03,48.19,3.71,4.15,,,,,,,,,,
Pacco piccolo,1400,3.05,3.15,3.41,5.87,5.11,4.21,4.5,52.68,3.76,4.63,,,,,,,,,,
Pacco piccolo,1900,3.25,3.17,3.43,6.1,5.14,4.27,4.82,54.49,3.81,4.95,,,,,,,,,,
Pacco piccolo,3900,3.27,4.28,4.54,7.8,5.16,5.5,5.9,64.1,3.93,6.38,,,,,,,,,,
Pacco standard,150,2.94,3.13,3.39,4.58,4.29,3.55,3.69,48.58,3.67,3.46,,,,,,,,,,
Pacco standard,400,3.01,3.16,3.42,5.22,4.7,3.77,4.04,51.7,3.73,3.85,,,,,,,,,,
Pacco standard,900,3.06,3.18,3.44,6.01,5.15,3.99,4.39,52.04,3.8,4.39,,,,,,,,,,
Pacco standard,1400,3.26,3.67,3.93,6.41,5.26,4.85,4.72,58.46,3.89,4.99,,,,,,,,,,
Pacco standard,1900,3.48,3.69,3.95,6.44,5.29,4.94,4.76,61.53,3.97,5.41,,,,,,,,,,
Pacco standard,2900,3.49,4.29,4.55,7.08,5.3,4.98,4.82,65.36,4.1,6.27,,,,,,,,,,
Pacco standard,3900,3.54,4.83,5.09,7.81,5.35,5.53,5.15,65.71,4.15,6.3,,,,,,,,,,
Pacco standard,5900,3.56,4.96,5.22,8.22,5.38,5.96,5.3,70.2,4.19,6.54,,,,,,,,,,
Pacco standard,8900,3.57,5.77,6.03,8.84,5.41,7.24,5.74,72.2,4.24,6.9,,,,,,,,,,
Pacco standard,11900,3.58,6.39,6.65,9.38,6.25,7.85,6.31,87.92,4.37,7.36,,,,,,,,,,
Fuori misura piccolo,760,3.49,4.3,4.56,7.05,7.21,5.68,7.02,82.32,4.13,6.63,0.25,0.18,0.18,0.2,0.08,0.04,0.07,0.73,0.03,0.04
Fuori misura standard leggero,760,4.35,4.33,4.59,7.29,7.45,6.55,7.12,82.59,4.15,6.66,0.15,0.18,0.18,0.21,0.22,0.34,0.22,3.1,0.14,0.23
Fuori misura standard pesante,15760,6.58,6.99,7.25,10.42,10.63,11.72,10.24,129.09,6.15,10.15,0.08,0.07,0.07,0.11,0.08,0.27,0.22,4.00,0.15,0.24
Fuori misura standard grande,760,5.67,5.8,6.06,8.47,9.13,6.76,7.22,83.09,4.18,6.69,0.24,0.27,0.27,0.45,0.3,0.43,0.32,4.9,0.16,0.35
Fuori misura pesante,31500,13.04,12.74,13.0,15.59,16.85,14.0,16.22,192.14,10.21,15.47,0.09,0.15,0.15,0.18,0.15,0.12,0.62,9.49,0.39,0.68
